login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
haileys,haileys/arc4-haskell,2016-06-20T12:38:49Z,4,4,Haskell,True,True,
haileys,haileys/archey-osx,2014-10-27T11:34:37Z,1,1,,True,False,
haileys,haileys/arduboy-chess,2020-07-02T02:41:15Z,3,3,C++,True,True,
haileys,haileys/arel,2013-05-05T11:55:01Z,0,0,Ruby,True,True,mit
haileys,haileys/aubio-rs,2018-05-24T00:59:33Z,10,10,Rust,True,True,
haileys,haileys/australia_postcode,2013-02-10T02:28:40Z,15,15,Ruby,True,True,wtfpl
haileys,haileys/axel,2013-11-30T00:36:27Z,10,10,C,True,True,gpl-2.0
haileys,haileys/axum-range,2023-09-09T06:28:12Z,8,8,Rust,True,True,mit
haileys,haileys/babel,2016-01-18T12:08:20Z,1,1,JavaScript,True,False,mit
haileys,haileys/backtrace-rs,2023-05-13T11:50:46Z,0,0,,True,False,other
haileys,haileys/bark,2023-08-14T11:24:24Z,667,667,Rust,True,True,agpl-3.0
haileys,haileys/bark-esp,2023-09-13T07:43:42Z,2,2,Rust,True,True,
haileys,haileys/battlecars,2011-12-24T04:27:22Z,2,2,C++,True,True,other
haileys,haileys/BBsharp,2010-04-06T05:18:04Z,24,24,C#,True,True,bsd-3-clause
haileys,haileys/bcrypt-ruby,2015-03-13T11:28:49Z,0,0,C,True,True,other
haileys,haileys/better_jasminerice,2013-06-26T01:10:20Z,2,2,Ruby,True,True,
haileys,haileys/bfjit,2010-11-24T04:56:56Z,10,10,C,True,True,
haileys,haileys/binding_of_caller,2012-12-16T07:10:02Z,0,0,C,True,True,other
haileys,haileys/bingo_bango,2014-11-16T02:13:10Z,1,1,Ruby,True,True,
haileys,haileys/BlockBlockAdBlock,2016-01-01T07:32:02Z,19,19,JavaScript,True,True,mit
haileys,haileys/bmoji,2022-03-16T04:16:07Z,1,1,Rust,True,True,
haileys,haileys/bonniedoon,2014-11-25T05:47:38Z,2,2,Ruby,True,True,
haileys,haileys/builder,2014-01-11T07:14:09Z,0,0,Ruby,True,True,mit
haileys,haileys/bundler,2013-10-02T03:22:24Z,1,1,Ruby,True,False,mit
haileys,haileys/bytemuck,2023-09-22T09:18:56Z,0,0,,True,False,apache-2.0
haileys,haileys/call-for-papers,2013-11-19T10:30:09Z,1,1,,True,True,
haileys,haileys/camper_van,2013-06-13T10:53:59Z,0,0,Ruby,True,True,mit
haileys,haileys/cast19,2012-04-05T09:31:42Z,7,7,Ruby,True,True,
haileys,haileys/cget,2014-01-11T12:12:17Z,2,2,Ruby,True,True,
haileys,haileys/cginatra,2014-03-27T05:07:41Z,1,1,Ruby,True,True,
haileys,haileys/charliesome.github.io,2015-08-05T05:33:33Z,1,1,HTML,True,True,
haileys,haileys/cheap_strings,2013-06-27T14:57:39Z,2,2,Ruby,True,True,wtfpl
haileys,haileys/chipotle,2017-09-08T12:19:19Z,1,1,Rust,True,True,
haileys,haileys/chruby,2013-03-24T06:21:19Z,0,0,Shell,True,True,mit
haileys,haileys/cinch-eval-in,2014-07-24T22:13:12Z,0,0,,True,True,other
haileys,haileys/clapclap,2014-12-27T11:23:28Z,0,0,Perl,True,True,
haileys,haileys/cleverbot-api,2013-02-14T08:11:30Z,0,0,Ruby,True,True,
haileys,haileys/coffee-script,2012-01-09T01:20:53Z,3,3,CoffeeScript,True,True,mit
haileys,haileys/coffee-script-pure,2012-01-10T02:17:25Z,25,25,Ruby,True,True,mit
haileys,haileys/conf,2012-10-27T06:28:59Z,1,1,VimL,True,True,
haileys,haileys/context,2013-12-06T23:07:19Z,0,0,Go,True,True,bsd-3-clause
haileys,haileys/controller,2014-03-18T09:18:19Z,0,0,Ruby,True,False,mit
haileys,haileys/core-futures-tls,2020-03-03T13:21:17Z,0,0,Rust,True,True,apache-2.0
haileys,haileys/crabos,2019-03-23T00:52:19Z,54,54,Rust,True,True,
haileys,haileys/CSOS,2011-03-28T04:47:57Z,6,6,C,True,True,
haileys,haileys/cstrike-source-gungame,2019-10-19T09:24:33Z,1,1,,True,True,
haileys,haileys/d16cc,2012-04-05T13:52:45Z,6,6,Ruby,True,True,
haileys,haileys/daikin-toolkit,2014-12-21T03:31:17Z,6,6,C,True,True,
haileys,haileys/decimal,2017-11-22T12:27:38Z,0,0,C,True,True,apache-2.0
haileys,haileys/decompress.com.au,2014-01-30T04:59:27Z,0,0,JavaScript,True,True,
haileys,haileys/dedeadname,2021-08-01T12:35:25Z,6,6,Shell,True,True,
haileys,haileys/def_returns_method_name,2013-10-10T13:24:16Z,0,0,Ruby,True,True,
haileys,haileys/diaspora,2012-03-07T10:13:19Z,2,2,Ruby,True,True,other
haileys,haileys/diesel,2021-05-05T02:03:38Z,0,0,,True,False,apache-2.0
haileys,haileys/diffcalc,2012-03-30T09:28:03Z,13,13,JavaScript,True,True,
haileys,haileys/dlmalloc-rs,2023-05-15T07:03:11Z,0,0,C,True,False,apache-2.0
haileys,haileys/dmoji,2021-02-21T10:26:19Z,4,4,Rust,True,True,
haileys,haileys/docker-dehydrated,2022-12-19T11:52:30Z,0,0,,True,True,apache-2.0
haileys,haileys/dogstatsd-rs,2021-01-20T04:29:48Z,0,0,Rust,True,True,mit
haileys,haileys/doslinux,2020-09-20T12:27:46Z,1537,1537,C,True,True,other
haileys,haileys/dprom,2022-12-06T08:11:52Z,0,0,Rust,True,True,
haileys,haileys/edicast,2019-02-05T01:55:19Z,3,3,Rust,True,True,
haileys,haileys/edifm,2019-01-30T13:59:42Z,8,8,Rust,True,True,
haileys,haileys/embassy,2023-09-13T08:51:07Z,0,0,Rust,True,True,apache-2.0
haileys,haileys/embuild,2023-09-15T03:58:49Z,0,0,Rust,True,True,apache-2.0
haileys,haileys/errexec,2014-12-08T11:21:45Z,5,5,C,True,True,
haileys,haileys/escape_utils,2013-08-11T19:18:34Z,2,2,C,True,False,mit
haileys,haileys/escort,2013-04-12T14:24:19Z,0,0,Ruby,True,True,mit
haileys,haileys/esp-idf,2023-09-22T10:53:00Z,0,0,,True,True,apache-2.0
haileys,haileys/esp-idf-sys,2023-09-15T04:48:51Z,0,0,Rust,True,True,apache-2.0
haileys,haileys/esp-pbuf,2023-09-20T23:36:17Z,0,0,Rust,True,True,
haileys,haileys/esp-wifi,2023-09-14T08:35:31Z,0,0,Rust,True,False,apache-2.0
haileys,haileys/espflash,2024-01-19T03:05:35Z,0,0,,True,False,apache-2.0
haileys,haileys/essential-albums,2014-12-09T06:46:30Z,0,0,,True,True,
haileys,haileys/evos,2012-03-10T06:50:29Z,3,3,C,True,True,
haileys,haileys/evremap,2023-07-25T22:26:20Z,0,0,,True,True,mit
haileys,haileys/execjs,2012-01-11T02:58:29Z,2,2,Ruby,True,False,mit
haileys,haileys/execr,2010-12-17T05:16:00Z,3,3,C++,True,True,
haileys,haileys/faad2,2020-04-15T09:54:36Z,1,1,C,True,True,other
haileys,haileys/faad2-rs,2020-04-15T09:23:16Z,2,2,Rust,True,True,gpl-2.0
haileys,haileys/faraday,2014-01-03T08:49:54Z,0,0,Ruby,True,True,mit
haileys,haileys/fast-ruby,2015-08-02T05:29:44Z,0,0,Ruby,True,True,
haileys,haileys/fast_open_struct,2013-04-08T13:30:11Z,111,111,Ruby,True,True,
haileys,haileys/fdk-aac-mirror,2020-04-16T07:44:25Z,1,1,C++,True,True,other
haileys,haileys/fdk-aac-rs,2020-04-16T14:57:02Z,13,13,Rust,True,True,mit
haileys,haileys/ffmpeg-cookbook,2014-04-07T12:51:37Z,35,35,,True,True,
haileys,haileys/ffmpeg-dev-rs,2020-04-29T11:25:16Z,0,0,C,True,True,mit
haileys,haileys/fieldwise,2020-04-11T09:42:36Z,2,2,Rust,True,True,
haileys,haileys/fig,2024-09-19T01:46:32Z,2,2,Shell,True,True,
rstacruz,rstacruz/101,2015-12-10T21:33:20Z,3,3,JavaScript,True,True,mit
rstacruz,rstacruz/ability_list,2013-01-09T01:55:01Z,3,3,Ruby,True,True,
rstacruz,rstacruz/actions-netlify,2020-06-28T01:28:02Z,0,0,,True,True,mit
rstacruz,rstacruz/activetimer,2018-07-21T02:30:23Z,5,5,Shell,True,True,
rstacruz,rstacruz/active_admin_editor,2015-12-02T13:11:47Z,1,1,Ruby,True,True,mit
rstacruz,rstacruz/ajaxapi,2015-01-26T13:00:27Z,18,18,JavaScript,True,True,
rstacruz,rstacruz/alpine-elixir,2019-01-15T10:09:57Z,0,0,Makefile,True,True,mit
rstacruz,rstacruz/ama,2015-07-15T10:38:00Z,1,1,,True,False,
rstacruz,rstacruz/annotate_models,2013-04-12T00:46:27Z,1,1,Ruby,True,True,
rstacruz,rstacruz/ansible-role-nodejs,2017-07-19T08:01:07Z,0,0,,True,True,mit
rstacruz,rstacruz/apt-package-whitelist,2015-12-06T16:15:25Z,1,1,Shell,True,False,mit
rstacruz,rstacruz/arch-install-helper,2021-11-03T09:21:35Z,5,5,Shell,True,True,mit
rstacruz,rstacruz/arch-installer,2018-12-26T11:11:40Z,22,22,Shell,True,True,
rstacruz,rstacruz/architecture-decision-record,2023-01-16T01:06:23Z,0,0,,True,True,
rstacruz,rstacruz/asdf,2016-06-23T08:43:01Z,0,0,Shell,True,True,mit
rstacruz,rstacruz/asdf-nodejs,2016-02-15T00:30:59Z,0,0,Shell,True,True,
rstacruz,rstacruz/asset_sync,2022-04-05T03:42:14Z,0,0,,True,False,
rstacruz,rstacruz/astro-og-image,2022-07-03T12:17:28Z,1,1,,True,True,
rstacruz,rstacruz/astro-starter-rsc,2024-03-03T10:13:25Z,2,2,JavaScript,False,False,mit
rstacruz,rstacruz/async-then,2016-03-25T07:10:33Z,5,5,JavaScript,True,True,
rstacruz,rstacruz/atom-recent-project-switcher,2018-07-22T06:32:03Z,2,2,JavaScript,True,True,mit
rstacruz,rstacruz/atom-transparency,2018-07-18T22:05:31Z,2,2,CSS,True,True,
rstacruz,rstacruz/atom-ui-tweaks,2018-07-15T06:44:48Z,16,16,CSS,True,True,mit
rstacruz,rstacruz/authsense,2016-06-16T17:52:19Z,9,9,Elixir,True,True,
rstacruz,rstacruz/auto-reload-brunch,2016-03-30T09:04:25Z,1,1,JavaScript,True,True,
rstacruz,rstacruz/AutoHotkey-jk,2022-11-23T11:19:20Z,0,0,,True,True,
rstacruz,rstacruz/AutoHotkey_L-Docs,2022-06-12T05:20:38Z,0,0,,True,False,
rstacruz,rstacruz/awesome,2018-07-03T10:44:03Z,0,0,,True,True,
rstacruz,rstacruz/awesome-cheatsheet,2017-10-01T13:19:59Z,8,8,Python,True,True,other
rstacruz,rstacruz/awesome-deku,2016-01-10T15:11:12Z,1,1,,True,True,
rstacruz,rstacruz/awesome-hyper,2020-04-27T00:37:48Z,1,1,,True,False,cc0-1.0
rstacruz,rstacruz/awesome-jekyll,2017-10-01T14:08:54Z,0,0,,True,False,
rstacruz,rstacruz/awesome-nodejs,2014-09-09T10:19:19Z,1,1,,True,False,
rstacruz,rstacruz/awesome-react,2017-09-30T19:12:14Z,1,1,,True,False,
rstacruz,rstacruz/aws-cdk,2020-11-30T04:31:26Z,1,1,,True,True,apache-2.0
rstacruz,rstacruz/babel,2016-02-09T10:47:17Z,1,1,JavaScript,True,True,mit
rstacruz,rstacruz/babel-brunch,2016-06-11T08:58:58Z,0,0,JavaScript,True,True,isc
rstacruz,rstacruz/babel-preset-es3-compatibility,2016-01-02T02:37:33Z,2,2,JavaScript,True,True,
rstacruz,rstacruz/babel-preset-forbeslindesay,2015-12-31T03:11:18Z,1,1,JavaScript,True,True,
rstacruz,rstacruz/backbone-patterns,2011-10-07T06:03:53Z,758,758,,True,True,
rstacruz,rstacruz/bass,2015-09-21T12:12:13Z,1,1,Python,True,True,
rstacruz,rstacruz/batch,2011-04-05T11:21:10Z,2,2,Ruby,True,True,mit
rstacruz,rstacruz/bcds,2015-07-24T20:49:02Z,4,4,HTML,True,True,
rstacruz,rstacruz/benchmarkjs-runner,2013-09-08T19:34:10Z,16,16,JavaScript,True,True,
rstacruz,rstacruz/better_errors,2012-12-09T15:20:57Z,0,0,Ruby,True,True,mit
rstacruz,rstacruz/bit,2017-08-18T00:40:01Z,0,0,JavaScript,True,False,other
rstacruz,rstacruz/bitrix-nginx-php-fpm,2017-10-01T14:03:27Z,0,0,CSS,True,True,
rstacruz,rstacruz/bookmarks,2014-10-03T04:54:26Z,62,62,,True,True,
rstacruz,rstacruz/bookmarks-1,2017-10-01T14:04:25Z,3,3,,True,True,
rstacruz,rstacruz/bookshelf,2013-10-23T05:50:12Z,3,3,JavaScript,True,True,mit
rstacruz,rstacruz/bootstrap-practices,2015-06-02T09:59:52Z,90,90,,True,True,
rstacruz,rstacruz/brewfiles,2015-09-12T01:42:10Z,7,7,Ruby,True,True,
rstacruz,rstacruz/build-reducer,2016-08-24T07:07:06Z,16,16,JavaScript,True,True,
rstacruz,rstacruz/builder,2015-06-24T04:41:13Z,1,1,Shell,True,True,apache-2.0
rstacruz,rstacruz/bullet,2015-06-16T02:31:16Z,1,1,Ruby,True,True,mit
rstacruz,rstacruz/bump-cli,2014-08-11T04:44:44Z,38,38,JavaScript,True,True,mit
rstacruz,rstacruz/bumped,2016-08-29T18:28:39Z,0,0,CoffeeScript,True,True,mit
rstacruz,rstacruz/burgers,2015-07-09T06:37:35Z,1,1,CSS,True,True,
rstacruz,rstacruz/capistrano-foreman-systemd,2017-01-14T18:55:18Z,0,0,Ruby,True,True,other
rstacruz,rstacruz/cdnjs,2011-03-27T05:40:13Z,3,3,JavaScript,True,True,
rstacruz,rstacruz/cdnjs-command,2011-03-27T04:40:12Z,20,20,Ruby,True,True,mit
rstacruz,rstacruz/chakram,2015-05-25T06:35:35Z,1,1,JavaScript,True,False,mit
rstacruz,rstacruz/changelog-maker,2015-03-23T11:03:00Z,1,1,JavaScript,True,True,mit
rstacruz,rstacruz/cheatsheets,2012-03-16T06:17:34Z,13813,13813,SCSS,False,False,
rstacruz,rstacruz/cheatsheets-assets,2017-09-07T19:01:18Z,8,8,JavaScript,True,True,
rstacruz,rstacruz/cheatsheets-ng,2018-05-12T16:54:08Z,14,14,JavaScript,False,False,
rstacruz,rstacruz/cheatsheets-search,2017-10-23T04:57:20Z,6,6,JavaScript,True,True,mit
rstacruz,rstacruz/Choices,2016-12-29T07:06:16Z,2,2,JavaScript,True,True,mit
rstacruz,rstacruz/chruby-fish,2015-09-02T08:32:35Z,1,1,Shell,True,False,mit
rstacruz,rstacruz/close-buffers.vim,2021-08-11T04:34:23Z,0,0,,True,True,
rstacruz,rstacruz/co-express,2016-01-05T23:10:49Z,1,1,JavaScript,True,True,mit
rstacruz,rstacruz/collaborative-etiquette,2015-07-01T03:10:24Z,47,47,,True,True,
rstacruz,rstacruz/CommunityJSData,2013-03-26T11:20:24Z,1,1,,True,True,
rstacruz,rstacruz/compose,2015-06-23T05:24:59Z,1,1,Python,True,True,apache-2.0
rstacruz,rstacruz/comprehensive-tech-drama-handbook,2013-10-02T07:02:46Z,1,1,CSS,True,True,
rstacruz,rstacruz/cping,2014-07-20T16:05:10Z,10,10,JavaScript,True,True,mit
rstacruz,rstacruz/create-reducer,2016-01-01T10:14:19Z,1,1,JavaScript,True,True,isc
rstacruz,rstacruz/cron-scheduler,2016-01-09T12:02:24Z,35,35,JavaScript,True,True,
rstacruz,rstacruz/css-condense,2012-09-01T17:22:05Z,205,205,JavaScript,True,True,
rstacruz,rstacruz/css-reloader-chrome,2015-12-17T11:53:56Z,1,1,JavaScript,True,True,mit
rstacruz,rstacruz/cssrefresh-vim,2010-09-11T18:14:20Z,4,4,Shell,True,True,
rstacruz,rstacruz/cssutils,2013-08-05T09:48:17Z,20,20,CSS,True,True,
rstacruz,rstacruz/ctags-css,2015-04-21T10:10:00Z,15,15,,True,True,
rstacruz,rstacruz/curlformat,2014-08-09T09:49:25Z,19,19,JavaScript,True,True,
rstacruz,rstacruz/dead-simple,2016-03-22T00:05:58Z,0,0,HTML,True,True,
rstacruz,rstacruz/debounce-collect,2015-09-21T08:28:38Z,10,10,JavaScript,True,True,
rstacruz,rstacruz/decca,2015-12-30T11:17:59Z,46,46,JavaScript,True,True,
rstacruz,rstacruz/deis,2016-01-06T08:25:35Z,0,0,Python,True,False,other
rstacruz,rstacruz/deku,2015-12-26T18:06:48Z,4,4,JavaScript,True,False,mit
rstacruz,rstacruz/deku-memoize,2016-01-01T12:50:44Z,7,7,JavaScript,True,True,
rstacruz,rstacruz/deku-redux,2015-12-27T13:50:16Z,1,1,JavaScript,True,True,mit
rstacruz,rstacruz/deku-stateful,2016-01-10T04:07:32Z,11,11,JavaScript,True,True,
rstacruz,rstacruz/details-polyfill,2016-07-27T19:55:40Z,91,91,JavaScript,True,True,mit
rstacruz,rstacruz/devhints-engine,2020-08-03T12:38:57Z,6,6,,True,True,mit
rstacruz,rstacruz/devhints-mirror,2020-06-22T22:57:40Z,6,6,HTML,True,True,mit
rstacruz,rstacruz/diceware-password,2019-08-06T02:32:14Z,3,3,Rust,True,True,
rstacruz,rstacruz/docpress-rsc,2015-10-09T21:45:37Z,5,5,CSS,True,True,mit
rstacruz,rstacruz/docs,2023-03-21T08:10:21Z,0,0,,True,False,mit
rstacruz,rstacruz/docs.ractivejs.org,2014-07-14T11:32:34Z,1,1,,True,True,
rstacruz,rstacruz/dom101,2014-11-28T16:56:13Z,82,82,JavaScript,True,True,mit
jesseduffield,jesseduffield/active-window,2020-07-18T00:48:56Z,0,0,,True,True,
jesseduffield,jesseduffield/ahoy_email,2024-07-15T12:42:57Z,1,1,,True,False,mit
jesseduffield,jesseduffield/apps.fyne.io,2020-08-02T04:39:48Z,0,0,,True,True,
jesseduffield,jesseduffield/asciigraph,2019-06-05T10:13:14Z,5,5,Go,True,True,bsd-3-clause
jesseduffield,jesseduffield/brew,2019-03-04T08:50:16Z,0,0,Ruby,True,False,bsd-2-clause
jesseduffield,jesseduffield/CodeSlap,2020-07-12T03:44:05Z,9,9,JavaScript,True,True,mit
jesseduffield,jesseduffield/d,2019-07-05T12:37:42Z,1,1,Python,True,True,mit
jesseduffield,jesseduffield/DefinitelyTyped,2019-02-27T05:35:36Z,0,0,TypeScript,True,True,other
jesseduffield,jesseduffield/delta,2020-03-01T11:35:26Z,2,2,Rust,True,True,other
jesseduffield,jesseduffield/fyne,2020-06-05T23:18:04Z,1,1,Go,True,True,other
jesseduffield,jesseduffield/generics,2022-03-18T10:38:20Z,14,14,Go,True,True,mit
jesseduffield,jesseduffield/git-scm.com,2020-08-25T09:59:59Z,1,1,Ruby,True,False,mit
jesseduffield,jesseduffield/gitui,2020-08-22T10:46:58Z,4,4,,True,False,mit
jesseduffield,jesseduffield/git_practice,2018-02-14T09:06:32Z,0,0,,True,True,
jesseduffield,jesseduffield/go-getter,2018-08-20T09:34:40Z,0,0,Go,True,True,mpl-2.0
jesseduffield,jesseduffield/go-git,2020-08-23T06:22:20Z,3,3,Go,True,True,apache-2.0
jesseduffield,jesseduffield/go-parsefix,2021-06-13T09:39:38Z,1,1,Go,True,True,bsd-2-clause
jesseduffield,jesseduffield/gocui,2018-06-05T08:34:39Z,218,218,Go,True,True,bsd-3-clause
jesseduffield,jesseduffield/goreleaser,2018-08-18T06:45:35Z,0,0,Go,True,True,mit
jesseduffield,jesseduffield/homebrew-core,2019-03-04T08:51:57Z,1,1,Ruby,True,False,bsd-2-clause
jesseduffield,jesseduffield/homebrew-horcrux,2020-01-02T07:08:43Z,0,0,Ruby,True,True,
jesseduffield,jesseduffield/homebrew-lazydocker,2019-06-18T10:09:35Z,2,2,Ruby,True,True,
jesseduffield,jesseduffield/homebrew-lazygit,2018-08-09T00:31:04Z,1,1,Ruby,True,True,mit
jesseduffield,jesseduffield/homebrew-lazynpm,2020-04-13T02:50:13Z,0,0,Ruby,True,True,
jesseduffield,jesseduffield/horcrux,2020-01-02T06:36:56Z,4622,4622,Go,True,True,mit
jesseduffield,jesseduffield/horcrux-ui,2020-06-07T01:19:50Z,497,497,Go,True,True,mit
jesseduffield,jesseduffield/immortality-reminder,2023-01-07T02:10:53Z,3,3,,True,True,mit
jesseduffield,jesseduffield/jesseduffield,2020-10-13T20:41:51Z,1,1,,True,True,mit
jesseduffield,jesseduffield/jesseduffield.github.io,2021-03-26T23:46:53Z,1,1,SCSS,True,True,mit
jesseduffield,jesseduffield/jumpcut,2020-07-11T02:07:31Z,1,1,,True,True,mit
